year,price
1995,68.63
2009,71.39
1992,55.79
2005,18.81
2012,24.77
2002,33.18
1996,16.86
2009,92.31
2005,5.24
1992,42.2
2012,57.81
2012,10.96
1989,48.9
2003,11.87
2010,21.67
2008,54.86
2009,15.8
2005,76.06
1998,51.23
1994,91.45
2011,79.84
2005,48.87
2008,35.44
1999,68.66
2011,42.77
2001,19.15
2000,33.81
1994,59.37
1967,7.54
2003,51.64
2010,48.01
1996,69.06
1997,16.59
2003,36.44
2006,44.12
1992,85.79
2012,63.67
2006,41.69
1998,35.28
1996,41.36
1996,8.79
2000,13.59
1987,80.8
1990,33.95
1999,82.49
1994,92.08
2000,90.47
2002,91.97
1994,21.69
2005,52.52
2008,99.87
1997,51.16
1997,17.89
2011,42.6
1985,33.74
1992,22.72
1988,72.28
2000,98.92
1992,30.46
2001,41.87
1996,34.78
2003,10.82
2009,41.6
2006,96.49
2008,98.12
2010,83.47
1993,94.89
1995,3.91
2003,18.99
1992,76.09
2009,26.26
2010,36.38
1999,90.32
1999,68.62
2007,94.52
2011,53.17
2012,8.99
2012,34.47
1995,15.52
1996,44.17
2006,25.21
2001,42.46
2002,51.46
1998,96.77
2012,32.31
2012,53.95
2008,1.11
2000,13.71
2011,78.43
2004,11.57
2001,78.89
2003,40.08
2002,12.18
2009,98.7
2012,63.37
2006,52.59
2012,67.12
1967,13.03
1992,38.63
2013,96.42
2012,33.95
2008,48.21
1995,46.9
2004,5.13
2011,87.16
1969,54.5
1994,42.97
1996,54.69
2008,17.82
1992,91.51
2007,13.58
1992,30.12
1993,70.99
1998,4.07
1993,34.78
1997,65.0
2007,29.27
2000,82.29
2000,51.34
1992,74.86
2006,60.94
2003,79.52
2003,44.73
2006,42.15
1993,16.3
2007,28.58
2005,12.73
1992,27.46
1981,89.05
2006,26.26
2006,64.1
2012,51.71
2012,99.45
2008,42.68
2011,77.45
2008,84.72
1995,87.82
1987,41.8
1989,72.6
1992,66.76
2009,24.23
1995,23.33
2003,43.57
2003,51.96
1992,77.28
2009,37.68
2005,66.37
2008,3.78
1989,34.03
1969,92.8
2001,49.2
2002,65.25
2008,81.29
2009,5.06
2008,69.04
2012,70.53
1999,49.51
2012,87.51
2006,4.53
2010,17.8
1994,4.25
2009,56.9
2006,77.98
1996,97.54
2000,96.39
2008,11.88
2007,47.06
1985,89.09
2000,93.44
2005,28.67
2003,39.05
1995,17.26
2001,73.55
1996,17.03
1987,58.16
1975,60.34
2008,53.31
1993,42.05
1996,26.53
2012,3.72
1998,76.81
2007,61.43
2008,66.42
1995,17.58
1999,54.75
2011,43.25
2007,25.6
1999,83.65
2002,22.87
2000,24.14
2005,37.9
2009,58.39
2012,74.78
1987,80.82
2010,36.6
2000,21.7
2008,31.38
1985,52.75
1987,13.96
1996,59.58
1996,19.85
2006,42.78
1995,23.67
1989,6.97
2012,7.82
2011,3.81
1998,93.7
2010,30.75
2002,32.58
2012,39.41
1992,41.13
1987,11.43
1999,32.16
1999,42.01
1994,44.67
1997,14.43
2006,20.24
2012,75.97
2005,15.06
2007,16.03
2009,86.66
2013,45.93
1993,95.09
1996,12.04
1996,44.16
1992,4.13
2007,77.32
1996,35.83
2000,98.67
2011,96.88
1988,83.79
2007,37.49
1999,3.55
1985,20.99
1994,68.84
2008,6.3
2005,95.01
1994,41.63
2009,9.62
2002,36.36
1996,12.54
1995,40.46
1984,22.6
2011,85.35
1992,87.12
2005,71.07
2006,45.53
2008,35.8
2005,58.33
2008,15.63
2002,22.96
1995,19.91
2002,71.94
1966,46.65
1991,21.21
2005,81.46
1999,92.34
1997,75.79
2006,35.86
1994,44.41
2010,95.54
2003,26.99
2004,92.15
1999,96.2
1996,64.72
2009,97.87
2009,84.33
2011,75.04
2009,6.3
2001,20.34
2000,64.88
2003,73.25
1992,18.72
1995,67.42
2006,59.81
2012,54.07
1998,99.1
2008,26.26
1996,6.95
2005,46.99
1996,41.3
2006,11.46
2010,11.87
1995,59.3
2010,89.89
1998,72.37
1999,64.4
1996,50.63
2000,1.19
2000,53.92
1980,20.39
1995,93.49
2007,42.64
2009,30.49
1994,16.72
2009,77.9
1995,79.55
1998,20.53
1998,73.64
1998,61.41
1998,66.54
1995,52.08
2009,41.24
1990,2.58
1984,37.7
2012,44.02
1995,1.12
1987,54.83
2007,27.91
2000,89.48
1995,54.69
2009,51.46
1999,4.69
1994,42.53
1997,57.75
1994,81.66
1994,19.33
1995,9.26
2006,45.5
2009,84.58
1993,57.16
2003,60.69
2012,36.79
2003,41.28
1989,73.29
2000,64.28
1987,25.21
2010,81.09
2006,25.84
1999,3.74
1979,38.71
2004,88.51
1997,56.93
1996,14.41
2012,30.14
1993,65.78
1994,34.39
1995,12.2
1996,9.09
1998,80.45
2003,67.5
1988,56.86
2010,84.03
1988,43.78
2002,41.01
2000,54.52
1988,97.4
2000,69.68
2012,6.68
1994,92.92
2002,48.58
2006,76.92
1984,34.91
2003,50.28
1983,19.71
2008,67.01
2004,13.52
1997,72.38
1978,77.46
2000,84.87
1992,7.94
1993,8.66
2012,22.82
1987,42.35
1993,8.83
1989,74.62
2004,33.87
2009,92.12
2008,28.56
2002,79.07
1994,54.17
1992,50.17
1993,47.99
1992,39.84
2010,92.04
1999,35.37
1992,14.12
2009,61.24
2001,47.88
1995,2.82
2009,95.42
2012,74.78
1992,67.36
2006,84.32
2005,53.28
1994,63.31
1993,40.27
1999,66.69
2001,48.81
2002,79.05
1995,66.0
1993,76.02
1985,70.03
1992,6.1
1987,47.0
1997,25.39
1990,49.03
1967,21.33
1998,91.75
2001,41.7
2010,52.39
1983,12.75
2001,55.63
1985,8.04
1997,69.37
1993,23.84
2006,1.13
2011,98.09
2011,55.52
2007,1.96
1978,29.37
1993,46.49
2007,37.6
1998,92.63
2007,40.05
1993,94.0
1994,78.92
2010,18.7
1992,97.45
2001,10.14
2009,23.33
2012,82.13
1994,14.49
1995,88.57
1992,34.91
2005,17.8
1992,92.5
2008,56.57
2005,68.93
2005,3.42
1986,77.73
2004,93.74
1999,42.45
1997,87.08
1999,71.79
1999,82.19
2001,94.59
1992,84.62
2006,12.7
2006,94.51
1995,48.47
2000,72.53
2006,92.77
1990,32.26
2009,52.37
1994,41.09
1994,98.25
2001,23.1
2010,17.52
2005,16.03
2005,99.31
2012,72.17
2009,65.64
2007,37.02
2011,99.88
1986,42.93
1976,89.46
2012,2.31
2011,26.32
2002,53.99
1986,5.79
2008,70.92
1997,97.8
1997,85.24
1992,3.36
2005,36.4
1990,45.6
2009,34.02
2001,37.2
1984,76.91
1997,11.93
1987,70.87
2009,91.96
1999,19.4
1999,89.93
2006,65.81
2009,9.47
2006,17.62
2011,32.53
1993,16.91
1995,6.01
1999,21.29
1996,14.91
1993,18.78
2005,12.31
1995,59.05
2009,53.26
2009,3.94
1993,75.4
2006,78.31
2001,84.52
2008,78.55
1995,59.61
2008,15.15
2004,15.46
2004,98.25
2006,85.21
2006,83.51
2000,66.22
2010,83.43
2011,26.7
1992,97.87
2006,82.15
2009,32.67
1988,75.35
1994,31.65
2008,15.88
1990,24.92
2004,96.32
1996,74.89
1972,37.92
2010,48.36
2009,41.69
2007,26.95
2009,12.36
1994,62.74
2009,45.05
2008,31.07
2002,75.84
2011,24.29
1984,50.89
2001,5.01
2003,22.04
2012,1.49
1993,96.47
2007,46.73
2005,46.99
1985,69.03
2010,45.09
2010,19.64
1994,24.59
2001,72.54
2010,72.01
2008,86.15
1991,46.24
2001,9.67
2001,77.04
1967,73.89
2007,92.14
2010,62.54
1993,57.79
1998,72.71
2008,52.58
1994,5.04
2010,74.55
2004,26.65
1991,69.37
1994,47.51
2007,48.16
1983,98.58
2007,52.08
1993,7.04
2007,70.86
1988,33.1
2005,89.97
2009,16.42
1967,60.27
1996,91.3
1998,67.25
2005,28.0
2003,90.76
1999,78.44
2003,26.63
2010,37.55
2002,77.06
1995,99.58
1993,91.51
2003,24.98
1994,66.58
2011,34.32
1992,53.38
1992,99.01
2011,99.71
2009,7.31
2001,74.07
2002,44.31
2002,52.0
2012,63.24
2008,88.55
2006,65.13
1984,73.73
1997,84.74
1991,70.73
2004,71.78
2006,73.59
2005,99.14
2002,88.91
2001,29.59
1995,58.2
1996,15.21
2008,34.63
2003,70.64
1997,43.91
1997,18.17
2005,19.7
2000,76.81
2007,35.94
1999,59.34
2006,78.92
1994,27.08
1986,22.89
1992,16.52
1993,85.24
1990,9.28
1994,80.7
2011,58.49
1984,56.85
1985,7.92
2007,60.09
2001,62.33
1991,50.35
1994,66.43
1999,80.91
1998,51.64
1993,54.7
1988,76.35
1995,68.16
2011,6.98
2000,25.88
1998,6.81
1996,28.23
1967,26.48
1994,21.27
1998,57.84
2005,9.82
2002,73.61
2007,39.1
2005,86.94
2010,34.1
2008,99.84
1990,84.19
2006,22.3
2008,11.81
2008,28.48
2008,8.95
1998,17.1
2007,71.48
2012,5.45
2002,75.0
2006,89.2
1989,43.64
2011,64.07
1995,3.27
2010,99.31
1978,66.62
1998,74.9
1992,39.06
2007,6.52
2003,69.06
1997,53.82
1983,51.81
2009,58.96
2006,96.41
1997,51.9
1986,5.29
1986,31.11
1993,87.69
2011,36.21
2006,83.85
1967,87.78
2007,89.33
1985,54.89
2013,77.95
1998,28.7
2006,35.05
1993,67.46
2000,82.3
1997,53.05
2007,99.73
1968,74.94
1999,56.42
2009,61.97
2003,85.43
2006,64.91
1999,87.65
1997,38.28
2007,8.08
2006,85.37
2002,73.41
1994,93.51
1998,63.02
2001,55.05
1992,38.47
1993,25.59
2008,20.47
1978,75.15
2009,70.61
1988,8.67
2001,2.91
2012,94.01
1996,32.29
1973,95.16
1993,21.06
2013,40.84
2012,59.47
2008,92.83
2006,92.82
2003,87.01
2006,86.21
1975,35.45
1985,56.45
2010,96.84
1993,61.85
2001,7.18
1997,7.13
2007,92.35
1994,91.64
1985,25.19
1997,98.55
2007,69.08
1986,60.5
2006,86.72
1996,55.94
1999,68.66
2009,31.95
1985,54.48
1996,29.7
1992,49.04
2000,50.0
2001,98.03
1984,6.45
1997,35.13
1988,12.77
2008,41.52
2005,77.5
2009,75.68
1992,48.49
2003,13.31
2000,62.17
2007,86.95
2009,54.44
1987,39.73
1986,23.77
2012,3.09
2002,94.51
1995,91.38
2010,37.47
1989,85.4
1988,14.11
2000,33.26
1997,10.61
2008,76.15
1993,65.01
2012,90.13
2010,77.19
1997,51.21
1999,92.88
2007,33.56
2009,67.58
1992,99.24
1985,8.9
1996,2.07
1999,68.55
2004,18.21
1998,57.51
2011,60.47
2013,24.38
2010,74.55
1992,9.27
2007,86.63
1992,60.86
2004,93.72
2012,76.6
2005,41.37
1986,59.66
1992,51.08
2006,33.44
2012,19.73
2006,22.35
2009,8.11
2007,3.85
1995,64.1
1984,55.05
2005,43.09
2009,18.65
2001,32.83
2009,86.11
1998,26.27
1993,23.19
1999,78.83
2005,42.82
1995,36.62
1994,8.06
1992,41.63
1996,32.41
1963,51.37
2009,69.92
1992,62.89
2002,47.13
1990,78.2
2013,11.01
1988,18.85
2006,38.82
2010,8.64
1999,71.65
2003,96.54
1995,13.01
2010,29.61
1985,71.02
1998,14.68
1992,70.11
2004,40.16
2007,9.13
2003,62.03
2007,23.69
2010,2.3
1985,36.54
1993,14.11
1970,17.25
2007,87.84
1996,41.65
2000,74.39
1994,51.62
2012,72.72
2012,50.97
1996,41.83
2006,10.77
2002,99.89
2003,12.19
